Question,Option A,Option B,Option C,Option D,Category
My lesson plans clearly connect daily activities to long-term learning objectives or standards.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I actively incorporate diverse instructional strategies (e.g., group work, debates, labs) in my weekly lessons.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I frequently integrate technology into my teaching to enhance student understanding and engagement.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I adjust my lessons mid-delivery based on immediate student feedback or observed confusion.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I start lessons with an engaging "hook" or an objective/agenda to frame the learning goals.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
My classroom procedures (e.g., handing in work, transitions) are clearly defined and consistently reinforced.,Never,Rarely,Sometimes,Always,Classroom Management
I use positive reinforcement and praise more often than correction or punitive measures.,Never,Rarely,Sometimes,Always,Classroom Management
I establish rapport with students by using positive greetings and learning about their non-academic interests.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I circulate actively during independent work time, providing targeted support rather than sitting at my desk.,Never,Rarely,Sometimes,Always,Classroom Management
I provide students with opportunities to collaborate and teach each other during lessons.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
My assessments (quizzes, tests) accurately measure student mastery of learning objectives, not just memorization.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I provide timely, specific, and actionable feedback that students can use to revise or improve future work.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I utilize **formative assessments** (e.g., exit tickets, quick polls) during lessons to gauge understanding.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I teach students explicit strategies for self-correction and revising their own work.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I consistently track student mastery of specific skills or standards throughout the grading period.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I regularly seek out and participate in **Professional Development (PD)** tailored to my subject area or grade level.,Never,Rarely,Sometimes,Always,Professional Development
I collaborate with colleagues to co-plan lessons or analyze student data (Professional Learning Communities).,Never,Rarely,Sometimes,Always,Professional Development
I proactively look for ways to streamline administrative tasks to maximize time spent on instruction.,Never,Rarely,Sometimes,Always,Professional Development
I reflect on my teaching effectiveness daily and document what worked and what didn't for future planning.,Never,Rarely,Sometimes,Always,Professional Development
I set specific, measurable goals for my professional growth each school year.,Never,Rarely,Sometimes,Always,Professional Development
I build meaningful, non-punitive relationships with students based on mutual respect.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I consciously use inclusive language and examples that represent diverse backgrounds and cultures.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I address potential bias in my grading practices and student participation expectations.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I differentiate instruction and resources to meet the needs of all learners (e.g., enrichment, accommodations).,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I communicate regularly and positively with parents/guardians about student progress and successes.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
My classroom environment is structured and organized to minimize unnecessary behavioral disruptions.,Never,Rarely,Sometimes,Always,Classroom Management
When correcting misbehavior, I focus on the desired behavior rather than shaming or public reprimands.,Never,Rarely,Sometimes,Always,Classroom Management
I teach students specific **social-emotional skills** (e.g., conflict resolution, active listening).,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I utilize multiple methods (visual, auditory, kinesthetic) when explaining complex concepts.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I plan for **higher-order thinking** (analysis, evaluation, creation) in every lesson.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
My pacing allows students sufficient time for processing, practice, and productive struggle.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I provide students with clear, written criteria (rubrics) before they begin an assignment.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I give students opportunities to apply what they learn to real-world problems or scenarios.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I actively solicit and use student feedback on my teaching effectiveness and classroom environment.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I maintain a calm and consistent demeanor even when faced with challenging student behavior.,Never,Rarely,Sometimes,Always,Classroom Management
I use specific **non-verbal cues** (eye contact, proximity) to manage minor misbehaviors proactively.,Never,Rarely,Sometimes,Always,Classroom Management
I consistently check for **prior knowledge** at the start of a lesson to activate student schemas.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I prioritize my **well-being and stress management** to avoid professional burnout.,Never,Rarely,Sometimes,Always,Professional Development
