Question,Option A,Option B,Option C,Option D,Category
I engage in moderate to vigorous physical activity (sports, fitness, walking) at least three times a week.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I prioritize getting 7-9 hours of sleep most nights, even during the school week.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I actively look for opportunities to lead or take on responsibilities in school clubs or groups.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I volunteer my time to help others or participate in community service projects.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I feel comfortable initiating conversations with classmates I don't know well.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I consciously choose healthy snacks and meals to maintain energy throughout the school day.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I speak up and share my ideas or opinions during class discussions.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I participate in school events (e.g., spirit days, concerts, games) beyond required attendance.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I set aside dedicated time each week for a hobby I truly enjoy (not school or work related).,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I actively ask questions when I am confused about a lesson or assignment.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I frequently use school breaks or lunch periods to socialize with different groups of friends.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I dedicate time to being outdoors or spending time in nature.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I participate in at least one school team, club, or performing arts group that meets weekly.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I seek out classmates to form study groups or collaborative project teams.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I feel comfortable approaching my teachers or advisors for casual, non-academic conversations.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I limit my screen time (phone, gaming) before bed to improve sleep quality.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I take thoughtful notes or draw diagrams during lectures to stay actively engaged.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I feel a strong connection to my school community and its values.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I attend social gatherings or parties with friends outside of school-organized events.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I use movement or stretching during long periods of sitting to maintain alertness.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I use strategies (like the Pomodoro Technique) to keep myself actively focused on homework.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I hold a formal leadership position in a club, team, or student government.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I check in with friends who seem stressed or withdrawn to offer support.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I manage my stress through healthy outlets like journaling, exercise, or talking to someone.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I volunteer to go first or present my work to the class.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I actively contribute ideas and energy to the planning and execution of club activities.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I spend time intentionally cultivating new friendships and widening my social circle.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I make sure to take short, restorative breaks when studying or doing homework.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I participate in extracurricular activities that challenge me physically or creatively.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I advocate for myself or for others when I see something unfair happening in school.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I am punctual for classes and meetings, showing respect for others' time.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I seek constructive feedback on my performance in extracurriculars to improve my skills.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I feel energized and happy when I spend time socializing with my friends.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I drink enough water throughout the day to stay hydrated and focused.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I submit assignments that show thoughtful effort and critical thinking, not just the minimum requirement.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I have found a balance between my academic workload and my extracurricular commitments.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I reach out to network or connect with professionals in fields I am interested in.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I feel my physical health directly contributes to my ability to focus in class.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I use different colored pens, diagrams, or concept maps to make my notes active and engaging.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I actively participate in competitions or showcases related to my extracurriculars.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I have a few close friends I can trust completely and talk to about anything.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I spend time preparing healthy meals or snacks for myself.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I actively listen to my peers during group work, ensuring everyone's voice is heard.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I enjoy trying new activities or joining new clubs even if I don't know anyone.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I use my phone or technology primarily for communication and connection, rather than just passive scrolling.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I avoid relying on excessive caffeine or energy drinks to get through the day.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I bring outside examples or related current events into class discussions.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I use school resources (e.g., gym, library, counseling services) when I need them.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I check in with my family about their day and share details about mine.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I schedule "downtime" or relaxation into my weekly routine.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I often finish assignments early so I can have free time or focus on extracurriculars.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I attend school-sponsored social events (dances, carnivals, movie nights).,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I feel like I belong to a supportive group of peers at school.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I take vitamins or supplements to support my physical and mental health.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I participate in online forums or social groups related to my academic or hobby interests.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I consciously make time to spend with different friends, not just the same core group.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I take regular mental health days or hours when I feel overwhelmed.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I offer to help classmates who are struggling with difficult material.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I read books, articles, or watch documentaries outside of required school assignments.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I try to meet new people during summer breaks or holidays.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I track my sleep patterns or use tools to assess my daily energy levels.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I actively participate in peer editing or reviewing classmates' work.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I take initiative to propose new activities or ideas within my clubs.,Never,Rarely,Sometimes,Always,Extracurricular Involvement
I feel confident about my social skills in new or challenging settings.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I spend time outdoors in sunlight for physical and mental benefits.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I use a planner or calendar to track both academic and social commitments.,Never,Rarely,Sometimes,Always,Active Classroom Participation
I maintain strong ties with friends from previous schools or activities.,Never,Rarely,Sometimes,Always,Social Engagement & Networking
I take the stairs instead of the elevator or escalator to increase daily activity.,Never,Rarely,Sometimes,Always,Physical Activity & Wellness
I can comfortably write simple scripts (e.g., in Python) to automate repetitive tasks or data processing.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I read scientific articles or news about breakthroughs in genetic engineering or synthetic biology.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I enjoy designing and building physical objects (e.g., using 3D printing, circuits, or hardware kits).,Never,Rarely,Sometimes,Always,Engineering & Design Application
I actively seek out projects that require combining code with physical hardware (e.g., Arduino, Raspberry Pi).,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I use version control (like Git) to manage my personal coding projects.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I am curious about the molecular mechanisms (proteins, DNA) that drive complex biological processes.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I consider material constraints (cost, strength, flexibility) when designing a solution.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have used data analysis or visualization libraries (e.g., Matplotlib, NumPy) to interpret biological datasets.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I frequently practice solving logical puzzles or competitive programming challenges.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I can explain the basic principles of immunology or neuroscience to a non-scientist.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
When I see a problem, my first thought is often "How could I design a better tool or system for this?",Never,Rarely,Sometimes,Always,Engineering & Design Application
I use computational tools (e.g., R, Python) to model or simulate biological systems or populations.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I actively troubleshoot and debug complex code independently, often enjoying the challenge.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand the ethical implications of emerging biotechnologies like CRISPR gene editing.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I have taken apart an electronic device or machine to understand how it works.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I participate in hackathons or maker fairs that involve building solutions across different fields.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I read documentation or user manuals for new programming languages or APIs willingly.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I am fascinated by the design elegance and efficiency of natural biological systems.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I prototype multiple solutions to a single problem before settling on the final design.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have attempted to write code to analyze DNA or protein sequence data.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I enjoy optimizing my code for speed, efficiency, and resource usage.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand the function of different organelles within a cell (e.g., mitochondria, nucleus).,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I enjoy the process of iterating on a physical design after testing and failure.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I follow news or breakthroughs in the field of Bioengineering or Robotics.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I actively contribute to or study open-source coding projects related to science or engineering.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I can categorize organisms based on their taxonomy or evolutionary relationships.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I use CAD (Computer-Aided Design) software for personal projects or hobbies.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have designed and built a functioning piece of monitoring equipment (e.g., sensor system, logger).,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I enjoy learning about different programming paradigms (e.g., object-oriented, functional).,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand how the environment influences genetic expression and organism development.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I apply physics and mechanics principles (forces, torque, circuits) to my designs.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have written code to control or interact with a robotic arm or moving device.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I regularly explore online tutorials or courses to learn new coding skills.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I am interested in how diseases are diagnosed and treated at the cellular or molecular level.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I enjoy making detailed technical drawings or schematics for my projects.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have used machine learning or AI libraries for classification or prediction tasks related to biology.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I read about computer architecture and how hardware fundamentally executes code.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand the principles of homeostasis and feedback loops in living systems.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I have access to and use specialized tools (e.g., soldering iron, multimeter) for engineering hobbies.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I can effectively explain a complex interdisciplinary concept to someone outside of my field.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I enjoy the structure and logic required for effective database management.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I am fascinated by how biological organisms process and store information.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I seek out opportunities to participate in engineering competitions or challenges.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I look for ways to apply coding solutions to biological problems I encounter (e.g., classification).,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I regularly follow technical blogs or podcasts related to software development.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I enjoy learning about different biomes and the interdependence of species within them.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I can estimate the feasibility and cost of a simple engineering project before starting.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I have used mathematical modeling (differential equations, statistics) to understand a biological process.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I can quickly pick up a new programming language syntax when needed.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand the process of drug development and clinical trials.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I design my projects with **user experience** and accessibility in mind.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I view a lack of data or an unreliable sensor as an interesting interdisciplinary problem to solve.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I enjoy refactoring old code to make it cleaner and more maintainable.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I keep up-to-date with new research on topics like personalized medicine or tissue engineering.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
I maintain a dedicated workspace (physical or digital) for prototyping and experimentation.,Never,Rarely,Sometimes,Always,Engineering & Design Application
I use my coding skills to create educational tools or simulations about biology.,Never,Rarely,Sometimes,Always,Interdisciplinary Projects
I enjoy discussing technical details of algorithms and data structures.,Never,Rarely,Sometimes,Always,Computational & Coding Skills
I understand the structure and function of the human body's major organ systems.,Never,Rarely,Sometimes,Always,Biological & Systems Thinking
