Question,Option A,Option B,Option C,Option D,Category
I prioritize tasting menus or chef's specials when dining out for the full experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I will send a dish back if it is prepared incorrectly or is severely under-seasoned.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I research a restaurant's food history and chef's background before making a reservation.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
The ambiance and service are equally as important as the food quality in a restaurant.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I am comfortable dining alone to fully focus on the meal.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I document my restaurant meals (photos/notes) for personal or public review.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I believe that a restaurant's bread service is a strong indicator of overall quality.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I judge a restaurant heavily on the quality of its coffee or post-meal beverages.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I always prefer sitting at the chef's counter or bar seating for observation.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I would drive over an hour for a truly exceptional and unique culinary experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I am willing to wait 30 minutes or more for a table at a highly-rated, walk-in restaurant.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I actively seek out Michelin-starred or equivalent fine-dining establishments.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I consider the wine/cocktail pairing a crucial element of the meal.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I am critical of the quality of ingredients used, even in casual dining settings.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I can confidently articulate *why* a dish does or does not work (e.g., balance of acid/fat).",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I often ask servers specific questions about ingredient sourcing or preparation methods.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I will always leave a review (positive or negative) after a notable dining experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I prefer eating at small, independent restaurants over large chain establishments.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I find slow, multi-course meals to be more satisfying than fast, casual dining.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I appreciate chefs who innovate and take risks with classic recipes.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I believe dessert should always be ordered, regardless of how full I am.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I factor in the acoustics and noise level when assessing a dining experience.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I often critique the plating and visual presentation of a dish.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I will specifically seek out places known for one exceptional, signature dish.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I am open to paying a premium for rare or high-quality ingredients (e.g., Wagyu, truffles).",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I am a stickler for proper table etiquette and use of cutlery.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I base my restaurant choices heavily on recommendations from reputable food critics/guides.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I appreciate open kitchens that allow me to see the cooking process.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I believe that paying extra for fresh, seasonal ingredients is always worth it.",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I prefer a menu that is small and focused over one that is large and diverse.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I am comfortable interacting directly with the chef or kitchen staff.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
"I enjoy trying the house made non-alcoholic beverages (e.g., sodas, infusions).",Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I will visit the same restaurant multiple times just to try everything on the menu.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I have a detailed mental list of restaurants I am eager to visit in my city.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I believe a tasting menu should tell a story or have a clear thematic flow.,Strongly Disagree,Disagree,Agree,Strongly Agree,Dining Experience & Criticism
I cook at home most nights of the week (5 or more).,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I am proficient in basic knife skills (e.g., julienne, brunoise).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I regularly attempt complex cooking techniques (e.g., sous vide, curing, fermenting).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I know how to properly sharpen and maintain my kitchen knives.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I rarely follow recipes exactly, preferring to improvise and adapt based on taste.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I keep my pantry stocked with a diverse range of spices and international ingredients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I make my own stocks and sauces from scratch regularly.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I believe salt, acid, fat, and heat are the four essential elements to balance in a dish.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I can successfully bake complex pastries or breads from scratch.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I prefer cooking savory dishes over baking sweet items.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I have a dedicated culinary project (e.g., making sourdough, brewing kombucha) that I maintain.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I own and regularly use specialized kitchen equipment (e.g., mortar and pestle, pasta maker).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I can successfully cook a protein (e.g., steak, fish) to a specific internal temperature without a thermometer.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I clean as I go and maintain a highly organized 'mise en place' when cooking.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I believe plating and garnishing are crucial parts of my home cooking process.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I spend time reading cookbooks for technique and inspiration, not just recipes.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I enjoy hosting dinner parties where I cook elaborate, multi-course meals.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I regularly substitute ingredients based on what is freshest or available seasonally.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I am confident in butchering or preparing whole animals/fish.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I regularly experiment with different cooking methods for the same ingredient (e.g., roasting vs. searing).",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I always taste and adjust seasoning multiple times before serving a meal.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I maintain a herb garden (indoor or outdoor) for fresh ingredients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I have taken professional cooking classes or equivalent serious culinary training.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I understand the Maillard reaction and how to achieve proper browning/caramelization.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I know the differences between various oils (e.g., smoke points, flavor profiles) and use them appropriately.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I make my own condiments and sauces (e.g., mayo, ketchup, chili sauce) instead of buying them.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I save kitchen scraps to create stock, oil infusions, or other useful items.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I own a dedicated notebook or digital file for storing and modifying my favorite recipes.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I can make a cohesive meal using only ingredients I find immediately available in my pantry.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I find the process of cleaning up after cooking to be therapeutic, not a chore.",Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I prefer making pasta or noodles from scratch over using store-bought dried varieties.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I understand how yeast and leavening agents work in baking.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I often make my own custom spice blends.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I time my meal components so everything finishes cooking simultaneously.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
I have successfully made homemade ice cream or sorbet.,Strongly Disagree,Disagree,Agree,Strongly Agree,Culinary Skills & Habits
"I actively seek out cuisines I have never tried before (e.g., Ethiopian, Peruvian, Filipino).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I prefer savory foods over sweet foods.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I consider myself an adventurous eater willing to try insects or unusual animal parts.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I have a high tolerance for spicy foods and actively seek out high-heat dishes.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I appreciate the distinct, complex flavors of fermented foods (e.g., kimchi, natto).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I believe every food can be improved by adding garlic.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
