Question,Option A,Option B,Option C,Option D,Category
I spend significant time debating the choice between monolithic and microservice architecture before starting a new project.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I believe starting with a detailed **database schema** is the most crucial first step for any application.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I design my systems to handle 10x the expected user load from day one (over-engineering is preparation).,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I choose a technology stack based on long-term maintainability rather than short-term development speed.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I prefer building my own component from scratch rather than adopting a large, opinionated framework.",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I use **UML diagrams** or similar visual tools to map out class and component relationships before coding.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I consciously design my services to be **stateless** for easier horizontal scaling.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I believe technical debt is an acceptable trade-off for rapid prototyping and initial feature delivery.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I find pleasure in simplifying an overly complex architecture through refactoring the initial design.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I document **Architectural Decision Records (ADRs)** to justify major structural choices.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I prioritize high cohesion and low coupling in all my component designs.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I design my projects to be easily deployable using **Containerization** (e.g., Docker).",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I enforce strict **separation of concerns** between the presentation, business, and data layers.",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I believe every function/method should be small enough to fit on a single screen.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I establish **coding standards** and linting rules before writing the first line of production code.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I model real-world concepts using **Domain-Driven Design (DDD)** principles in my code.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I design for fault tolerance, assuming network or service failures are inevitable.",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I believe clear naming conventions for variables and functions are a form of architectural documentation.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I always consider security implications (e.g., input validation) at the design phase.",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I prefer **event-driven architecture** over traditional request-response models for complex flows.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I believe the architecture should be flexible enough to allow easy technology swaps (e.g., database changes).",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
"I use design patterns (e.g., Factory, Observer) consistently to solve common problems.",Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I visualize potential bottlenecks and failure points during the design phase.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I make a conscious effort to minimize external dependencies to simplify maintenance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
I value simplicity and elegance in a design over a solution that is merely functional.,Strongly Disagree,Disagree,Agree,Strongly Agree,Architectural Design & Planning
