Question,Option A,Option B,Option C,Option D,Category
"I create and follow a detailed weekly training schedule that balances skill work, strength, and rest days.",Never,Rarely,Sometimes,Always,Training Habits
"I utilize the 'deliberate practice' technique by focusing on my weakest skill areas, not just my favorite ones.",Never,Rarely,Sometimes,Always,Training Habits
I use a time-blocking strategy by assigning specific drills to specific time slots in my individual workouts.,Never,Rarely,Sometimes,Always,Training Habits
"I seek specific, actionable feedback from my coaches and teammates after practices and games.",Never,Rarely,Sometimes,Always,Training Habits
"I practice my free throws or clutch shots under simulated game-like pressure (e.g., timed or fatigued).",Never,Rarely,Sometimes,Always,Training Habits
I use periodization by adjusting the intensity of my workouts based on the team's game schedule.,Never,Rarely,Sometimes,Always,Training Habits
I arrive early to practice and games to properly stretch and prepare my body.,Never,Rarely,Sometimes,Always,Training Habits
I consistently follow my strength and conditioning program outside of team practice.,Never,Rarely,Sometimes,Always,Training Habits
I film or record my individual workouts to analyze my technique and form.,Never,Rarely,Sometimes,Always,Training Habits
I dedicate time each week to improving my off-hand or non-dominant skills.,Never,Rarely,Sometimes,Always,Training Habits
"I actively work on my agility, footwork, and lateral speed drills regularly.",Never,Rarely,Sometimes,Always,Training Habits
"I track my progress on key performance indicators (e.g., jump height, sprint time, shot percentage).",Never,Rarely,Sometimes,Always,Training Habits
"I perform drills at game speed and intensity, even when fatigued.",Never,Rarely,Sometimes,Always,Training Habits
I incorporate plyometrics and explosive movements into my training routine.,Never,Rarely,Sometimes,Always,Training Habits
I take ownership of my skill development and find resources to supplement team practices.,Never,Rarely,Sometimes,Always,Training Habits
I vary my training drills to avoid stagnation and maintain mental engagement.,Never,Rarely,Sometimes,Always,Training Habits
I focus on proper jumping and landing mechanics to prevent lower body injuries.,Never,Rarely,Sometimes,Always,Training Habits
I dedicate a minimum amount of time daily to dynamic stretching and mobility work.,Never,Rarely,Sometimes,Always,Training Habits
I communicate any physical limitations or needed adjustments to my coaching staff promptly.,Never,Rarely,Sometimes,Always,Training Habits
"I use technology (e.g., shooting machine, heart rate monitor) to enhance the effectiveness of my training.",Never,Rarely,Sometimes,Always,Training Habits
I perform resistance band exercises for joint stability and activation before practice.,Never,Rarely,Sometimes,Always,Training Habits
I include balance and proprioception exercises to improve body control.,Never,Rarely,Sometimes,Always,Training Habits
"I challenge myself with new, complex moves and techniques in practice.",Never,Rarely,Sometimes,Always,Training Habits
I spend time reviewing the team's defensive and offensive concepts outside of practice.,Never,Rarely,Sometimes,Always,Training Habits
"I prioritize high-quality reps over high-volume, unfocused training.",Never,Rarely,Sometimes,Always,Training Habits
I utilize visualization techniques to mentally rehearse plays and successful shots before a game.,Never,Rarely,Sometimes,Always,Game Preparation
"I review game film focusing on my decisions (shot selection, passes) rather than just the result.",Never,Rarely,Sometimes,Always,Game Preparation
"I maintain a pre-game checklist of essential gear, physical warm-up, and mental cues to ensure readiness.",Never,Rarely,Sometimes,Always,Game Preparation
"I effectively communicate with my teammates on the court, using specific calls and eye contact.",Never,Rarely,Sometimes,Always,Game Preparation
"I actively study the tendencies of key opponents (e.g., which way they drive, their favorite shots).",Never,Rarely,Sometimes,Always,Game Preparation
I enter the game with a clear understanding of the three most important things I must execute (my 'keys to the game').,Never,Rarely,Sometimes,Always,Game Preparation
I meticulously review the team's scouting report for the upcoming opponent.,Never,Rarely,Sometimes,Always,Game Preparation
"I mentally prepare for different potential game scenarios (e.g., down by 2 with 30 seconds left).",Never,Rarely,Sometimes,Always,Game Preparation
I have a structured physical warm-up routine that I follow consistently before every game.,Never,Rarely,Sometimes,Always,Game Preparation
I adjust my individual game plan based on the starting lineup and opponent match-ups.,Never,Rarely,Sometimes,Always,Game Preparation
I ensure I have practiced the specific in-bounds and out-of-bounds plays we will run.,Never,Rarely,Sometimes,Always,Game Preparation
I analyze the opposing coach's tendencies for timeouts and substitutions.,Never,Rarely,Sometimes,Always,Game Preparation
I clarify any uncertainties about the game plan with a coach or teammate before the game starts.,Never,Rarely,Sometimes,Always,Game Preparation
