id, Question
1, Do instructor started and ended class at the appropriate time?
2, Do instructor came to class prepared? explain how.
3, Is instructor was knowledgeable about the subject material? what important have you learn.
4, Do instructor used class time effectively?
5, Do instructor encouraged student participation?
6, Assignments and exams in this course were based on course outcomes and objectives.
7, Did instructor graded assignments in a timely manner?
8, Did instructor was biased or favored some students over others?
9, Did instructor did well explaining material or addressing questions.
10, Instructional office hours and additional student resources were accessible to students.
11, Do instructor shared outside of classroom experiences  with students.
