Question,Option A,Option B,Option C,Option D,Category
I clearly define my role and expected tasks at the start of the project.,Never,Rarely,Sometimes,Always,Task & Time Management
I meet all internal deadlines set by the group.,Never,Rarely,Sometimes,Always,Task & Time Management
"I use a shared platform (e.g., Google Docs, Trello) to track progress and documents.",Never,Rarely,Sometimes,Always,Task & Time Management
I proactively reach out to a group member if they miss a deadline.,Never,Rarely,Sometimes,Always,Task & Time Management
"I break down large group tasks into smaller, manageable sub-tasks.",Never,Rarely,Sometimes,Always,Task & Time Management
I communicate my progress and any roadblocks without being asked.,Never,Rarely,Sometimes,Always,Communication & Feedback
I listen actively to teammates' suggestions before offering my own.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I provide constructive feedback on others' work, focusing on the project goals.",Never,Rarely,Sometimes,Always,Communication & Feedback
"I promptly respond to group messages or emails (e.g., within 2 hours).",Never,Rarely,Sometimes,Always,Communication & Feedback
I clearly summarize meeting outcomes and next steps for the group.,Never,Rarely,Sometimes,Always,Communication & Feedback
I address conflicts or disagreements directly with the involved parties rather than avoiding them.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I hold myself accountable for mistakes and offer solutions to correct them.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I ensure work quality meets high standards before submitting my part to the group.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I am comfortable voicing a dissenting opinion when I believe it benefits the project.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I work to resolve differences by focusing on shared objectives, not personal feelings.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I volunteer for challenging or less desirable tasks.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I proactively offer help to teammates struggling with their assigned tasks.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I introduce new ideas or creative solutions to the group beyond my assigned tasks.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I take initiative to schedule meetings or preparatory work when necessary.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I encourage quieter members to share their thoughts and ideas.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I use a project timeline (Gantt chart or similar) to visualize dependencies and monitor overall progress.,Never,Rarely,Sometimes,Always,Task & Time Management
"I prioritize high-leverage tasks that move the entire project forward over small, easy tasks.",Never,Rarely,Sometimes,Always,Task & Time Management
I clearly estimate the time required for my tasks and communicate changes if the estimate shifts.,Never,Rarely,Sometimes,Always,Task & Time Management
I document processes and decisions in a central location accessible to all teammates.,Never,Rarely,Sometimes,Always,Task & Time Management
I review the project's **scope and objectives** at least weekly to ensure we stay on track.,Never,Rarely,Sometimes,Always,Task & Time Management
I prepare an **agenda** and desired outcomes before every group meeting.,Never,Rarely,Sometimes,Always,Task & Time Management
I start working on my assigned tasks immediately instead of procrastinating until the last minute.,Never,Rarely,Sometimes,Always,Task & Time Management
"I anticipate potential roadblocks (e.g., missing data, technical problems) and communicate them early.",Never,Rarely,Sometimes,Always,Task & Time Management
I clearly define the **minimum viable product (MVP)** or expected quality level for each deliverable.,Never,Rarely,Sometimes,Always,Task & Time Management
I divide my personal workload efficiently based on my energy levels and peak productivity times.,Never,Rarely,Sometimes,Always,Task & Time Management
I use 'parking lot' lists to defer non-critical discussion points until after the main agenda is complete.,Never,Rarely,Sometimes,Always,Task & Time Management
I ensure that group meetings end with defined action items assigned to specific individuals.,Never,Rarely,Sometimes,Always,Task & Time Management
I dedicate uninterrupted time blocks to work on complex group tasks.,Never,Rarely,Sometimes,Always,Task & Time Management
I create and maintain a detailed version history for all core project documents.,Never,Rarely,Sometimes,Always,Task & Time Management
I cross-check my completed tasks against the initial assignment criteria to ensure compliance.,Never,Rarely,Sometimes,Always,Task & Time Management
I use a shared calendar to display my general availability for meetings and work sessions.,Never,Rarely,Sometimes,Always,Task & Time Management
I follow a 'Do-Review-Complete' process before marking a major task finished.,Never,Rarely,Sometimes,Always,Task & Time Management
I proactively check the project timeline to identify if the group is falling behind schedule.,Never,Rarely,Sometimes,Always,Task & Time Management
"I utilize collaboration features (e.g., commenting, tagging) efficiently in shared documents.",Never,Rarely,Sometimes,Always,Task & Time Management
I document any significant **changes in project scope** and ensure the group agrees on the implications.,Never,Rarely,Sometimes,Always,Task & Time Management
"I tailor my communication style to the receiver (e.g., brief summary for busy leaders, detailed explanation for collaborators).",Never,Rarely,Sometimes,Always,Communication & Feedback
I check for understanding by asking teammates to summarize key points after I explain a complex idea.,Never,Rarely,Sometimes,Always,Communication & Feedback
I offer praise or positive reinforcement for good work to boost group morale.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I phrase my suggestions as questions (e.g., 'What if we tried X?') to foster open discussion.",Never,Rarely,Sometimes,Always,Communication & Feedback
I actively seek feedback on my own contributions before submitting them as final.,Never,Rarely,Sometimes,Always,Communication & Feedback
I am transparent about my personal work limitations or external commitments affecting my time.,Never,Rarely,Sometimes,Always,Communication & Feedback
I clearly separate **facts** from **assumptions** when discussing project issues.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I use appropriate communication channels (e.g., email for official decisions, chat for quick questions).",Never,Rarely,Sometimes,Always,Communication & Feedback
I avoid interrupting teammates when they are speaking during meetings.,Never,Rarely,Sometimes,Always,Communication & Feedback
I make an effort to use inclusive language that is respectful of all group members.,Never,Rarely,Sometimes,Always,Communication & Feedback
I paraphrase others' ideas to confirm I've grasped their meaning accurately.,Never,Rarely,Sometimes,Always,Communication & Feedback
I clearly articulate the **'Why'** behind my suggestions or proposed changes.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I maintain professional courtesy and tone, even in moments of high stress or disagreement.",Never,Rarely,Sometimes,Always,Communication & Feedback
I follow up on unanswered questions or ignored messages to ensure information isn't lost.,Never,Rarely,Sometimes,Always,Communication & Feedback
I practice **active listening** by putting away distractions (like my phone) during meetings.,Never,Rarely,Sometimes,Always,Communication & Feedback
I summarize my understanding of complex instructions immediately after receiving them.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I ensure my written communications are clear, concise, and free of grammatical errors.",Never,Rarely,Sometimes,Always,Communication & Feedback
I use clear headers or bullet points in communications to make information easily scannable.,Never,Rarely,Sometimes,Always,Communication & Feedback
I clarify vague terms or assumptions made by teammates to ensure alignment.,Never,Rarely,Sometimes,Always,Communication & Feedback
"I communicate potential resource needs (e.g., access to data, specialized software) proactively.",Never,Rarely,Sometimes,Always,Communication & Feedback
I believe that constructive conflict (disagreement over ideas) leads to better group outcomes.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I ensure that responsibility for a task is clearly **accepted** by a teammate, not just assigned.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I actively propose alternative solutions when criticizing a teammate's work or idea.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I avoid engaging in or listening to group gossip or forming cliques.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I focus on the **behavior/action** when giving critical feedback, not the person's character.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I actively seek to understand the underlying **reason** for a missed deadline or poor performance.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I maintain a record of assignments and who is responsible for each task.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I publicly acknowledge when a teammate points out an error in my work.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I help establish clear ground rules or norms for group interaction at the outset.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I follow through on every commitment I make to the group, no matter how small.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I initiate difficult conversations about performance issues rather than waiting for them to escalate.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I apologize sincerely and quickly when I realize I have made a mistake that affected the group.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I ensure group decisions are documented so that accountability is clear later on.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I am comfortable being challenged on my ideas, seeing it as an attempt to strengthen the project.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I avoid passively agreeing to a workload I know I cannot reasonably manage.,Never,Rarely,Sometimes,Always,Conflict & Accountability
"I ensure that the accountability process applies equally to all members, including myself.",Never,Rarely,Sometimes,Always,Conflict & Accountability
I advocate for group members who are being unfairly criticized or overwhelmed.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I clearly state my expectations regarding quality and timeliness to my collaborators.,Never,Rarely,Sometimes,Always,Conflict & Accountability
