id,question
1, The instructor started and ended class at the appropriate time,
2, The instructor came to class prepared,
3, The instructor was knowledgeable about the subject material,
4, The instructor used class time effectively,
5, The instructor encouraged student participation,
6, Assignments and exams in this course were based on course outcomes and objectives,
7, The instructor graded assignments in a timely manner,
8, The instructor was biased or favored some students over others,
9, The instructor did well explaining material or addressing questions,
10, Instructional office hours and additional student resources were accessible to students,
11 (optional): The instructor shared outside of classroom experiences (ex: internships) with students
